name,url,address,scope,country,state
The Whistler Newspaper,https://thewhistler.ng/,"21 Rd, 2nd Avenue, Gwarinpa, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Exponent News- A production of Ewi Exponent Rendition Communication-EERC,https://www.exponentnews.com.ng/,"C/o Nigeria, Union of Journalists, behind Adegbemile Cultural centre, Alagbaka, Akure 340283, Ondo, Nigeria",national,Nigeria,Plateau
Radio Maria Abuja,https://radiomaria.ng/,"Zone 2, 51 Mambolo St, Wuse, Abuja 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
"FRCN Radio House, Abuja",https://radionigeria.gov.ng/,"2FRR+JGP, Herbert Macaulay Wy, Garki, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Rhythm 94.7 FM Abuja,http://www.silverbirdgroup.com/,"26B M. Dr, Wuse, Abuja 904101, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Rapid Broadcasting Network,http://www.rbnradiotv.com/,"3 Oka - Akoko St, off Lagos Crescent, Garki 2, Abuja 900247, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Wazobia Fm 99.5 Abuja,http://wazobiafm.com/abuja,"Plot 592 Independence Ave, Central Business District, Abuja 900103, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Radio Nigeria Ibadan,http://www.radionigeria.gov.ng/,"9VPJ+WGG, 7th Day Adventist Rd, Ibadan 200284, Oyo, Nigeria",national,Nigeria,Plateau
The Beat 99.9 FM Port Harcourt,http://thebeat99ph.com/,"R245+V42, 8 Aranye Okilo Drive, Elechi, Oroworukwo 500101, Rivers, Nigeria",national,Nigeria,Plateau
Anambra Broadcasting Service,http://www.absradiotelevision.com/,"ABS, Anambra Broadcasting Service, Awka 420110, Anambra, Nigeria",national,Nigeria,Plateau
KISSFM,http://www.kissfm999.media/live,"17, Karaye Street, Off Samuel Ladoke Akintola Boulevard, Garki 2, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Plateau Radio Television Corporation (PRTV) Rayfield,https://www.prtvc.net/,"RVRX+M9R, Jos 930103, Plateau, Nigeria",national,Nigeria,Plateau
"Eko FM 89.7 Lagos, Ikeja",http://ekofm.lagosstate.gov.ng/,"1 Lateef Jakande Rd, Agidingbi, Ikeja 101233, Lagos, Nigeria",national,Nigeria,Plateau
92.3 Nigeria Info FM,http://nigeriainfo.fm/,"200 Ahoada East - West Rd, Rumuosi, Port Harcourt 500102, Rivers, Nigeria",national,Nigeria,Plateau
WiGRadio | Online Gospel Radio in Lagos Nigeria,http://www.wigradio.com/,"1 Amos Babarinde Cl, Alimosho, Lagos 100275, Lagos, Nigeria",national,Nigeria,Plateau
"Radio Nigeria, Dugbe, Ibadan",http://www.radionigeriaibadan.gov.ng/,"Broadcasting House, Oba Adebimpe Road, Dugbe, Ibadan 200284, Oyo, Nigeria",national,Nigeria,Plateau
Dream 92.5 FM,https://www.dreamfm925.com/,"Bank Ave, GRA, Enugu 400102, Enugu, Nigeria",national,Nigeria,Plateau
Super FM 96.3,http://www.superfm963.com/,"3 Fatai Agbolade Close, off Ibadan Rd, Ijebu Ode 120101, Ogun State, Nigeria",national,Nigeria,Plateau
Vision Africa Radio Station,http://visionafricaradioblog.com/,"Ogurube Layout, Umuahia 440236, Abia, Nigeria",national,Nigeria,Plateau
AGIDIGBO 88.7 FM,http://www.agidigbo887fm.com/,"Broadcasting House, Rainbow Junction, Ojoo Expressway, Iwo Road, Ibadan 200132, Oyo, Nigeria",national,Nigeria,Plateau
Osun State Broadcasting Corporation.,https://www.osbcng.org/,"Ibokun-Osogbo Rd, Osogbo 230284, Osun, Nigeria",national,Nigeria,Plateau
94.1 Wazobia FM,http://wazobiafm.com/,"KM16 Ahoada East - West Rd, Rumuosi, Port Harcourt 500102, Rivers, Nigeria",national,Nigeria,Plateau
Diamond 88.7 FM,http://www.diamondfm.net/,"FG3R+QG3, New Yidi Rd, Ilorin 240281, Kwara, Nigeria",national,Nigeria,Plateau
HOD TV & RADIO,https://hodradio.webradiosite.com/,"Number 16 oviare street, behind ITV Television station, Uselu, Benin City 371117, Edo, Nigeria",national,Nigeria,Plateau
Comfort 95.1 FM,http://comfort951fm.com/,"Akwa Ima Estate, Extension Ikot Akpan, Abia Road, Uyo 521110, Akwa Ibom, Nigeria",national,Nigeria,Plateau
ROSACOMMS NIGERIA LIMITED,http://www.rosacomms.blogspot.com/,"2F5H+82W, Gudu, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Boss FM 95.5,https://bossfm.ng/contacts/,"Boss Fm 95.5, off Bello Mai Gari Dukku, Asokoro, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
PRNigeria Centre Abuja,http://www.prnigeria.com/,"111 Idris Gidado St, Wuye, Ankuru 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Peoples Gazette,https://gazettengr.com/,"1095, Umar Shuaibu Avenue, NNPC Estate, opposite Thuja Ville, Utako, Abuja 900211, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
Northeast Star News Magazine,http://northeaststarlive.com/,"Zone 4, City Library, No 2 Gwani St, Wuse, Abuja 900271, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
The Gazette News (Nigeria),http://thegazette.com.ng/,"69 Rd, Gwarinpa Estate, Kubwa 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
BlueprintAfric,http://www.blueprintafric.com/,"Plot 976 Olusegun Obasanjo Wy, Wuye, Ankuru 900108, Federal Capital Territory, Nigeria",national,Nigeria,Plateau
,,,,,
=== STATE/LOCAL NEWS SITES (Plateau) ===,,,,,
The Authority Newspaper,http://www.authorityngr.com/,"off Lake Chad, 10 Oguda CL., Maitama, Abuja 904101, Federal Capital Territory, Nigeria",state,Nigeria,Plateau
Plateau,http://www.plateaustate.gov.ng/,"Plateau, Nigeria",state,Nigeria,Plateau
