name,url,address,scope,country,state
WiGRadio | Online Gospel Radio in Lagos Nigeria,http://www.wigradio.com/,"1 Amos Babarinde Cl, Alimosho, Lagos 100275, Lagos, Nigeria",national,Nigeria,
Dream 92.5 FM,https://www.dreamfm925.com/,"Bank Ave, GRA, Enugu 400102, Enugu, Nigeria",national,Nigeria,
"Radio Nigeria, Dugbe, Ibadan",http://www.radionigeriaibadan.gov.ng/,"Broadcasting House, Oba Adebimpe Road, Dugbe, Ibadan 200284, Oyo, Nigeria",national,Nigeria,
Super FM 96.3,http://www.superfm963.com/,"3 Fatai Agbolade Close, off Ibadan Rd, Ijebu Ode 120101, Ogun State, Nigeria",national,Nigeria,
92.3 Nigeria Info FM,http://nigeriainfo.fm/,"200 Ahoada East - West Rd, Rumuosi, Port Harcourt 500102, Rivers, Nigeria",national,Nigeria,
Freedom Radio,http://www.freedomradionig.com/,"XG66+GQR, Road, Sharada, Kano 700103, Kano, Nigeria",national,Nigeria,
Vision Africa Radio Station,http://visionafricaradioblog.com/,"Ogurube Layout, Umuahia 440236, Abia, Nigeria",national,Nigeria,
AGIDIGBO 88.7 FM,http://www.agidigbo887fm.com/,"Broadcasting House, Rainbow Junction, Ojoo Expressway, Iwo Road, Ibadan 200132, Oyo, Nigeria",national,Nigeria,
Osun State Broadcasting Corporation.,https://www.osbcng.org/,"Ibokun-Osogbo Rd, Osogbo 230284, Osun, Nigeria",national,Nigeria,
94.1 Wazobia FM,http://wazobiafm.com/,"KM16 Ahoada East - West Rd, Rumuosi, Port Harcourt 500102, Rivers, Nigeria",national,Nigeria,
Diamond 88.7 FM,http://www.diamondfm.net/,"FG3R+QG3, New Yidi Rd, Ilorin 240281, Kwara, Nigeria",national,Nigeria,
HOD TV & RADIO,https://hodradio.webradiosite.com/,"Number 16 oviare street, behind ITV Television station, Uselu, Benin City 371117, Edo, Nigeria",national,Nigeria,
Comfort 95.1 FM,http://comfort951fm.com/,"Akwa Ima Estate, Extension Ikot Akpan, Abia Road, Uyo 521110, Akwa Ibom, Nigeria",national,Nigeria,
ROSACOMMS NIGERIA LIMITED,http://www.rosacomms.blogspot.com/,"2F5H+82W, Gudu, Abuja 900110, Federal Capital Territory, Nigeria",national,Nigeria,
PRNigeria Centre Abuja,http://www.prnigeria.com/,"111 Idris Gidado St, Wuye, Ankuru 900108, Federal Capital Territory, Nigeria",national,Nigeria,
Peoples Gazette,https://gazettengr.com/,"1095, Umar Shuaibu Avenue, NNPC Estate, opposite Thuja Ville, Utako, Abuja 900211, Federal Capital Territory, Nigeria",national,Nigeria,
Northeast Star News Magazine,http://northeaststarlive.com/,"Zone 4, City Library, No 2 Gwani St, Wuse, Abuja 900271, Federal Capital Territory, Nigeria",national,Nigeria,
The Gazette News (Nigeria),http://thegazette.com.ng/,"69 Rd, Gwarinpa Estate, Kubwa 900108, Federal Capital Territory, Nigeria",national,Nigeria,
BlueprintAfric,http://www.blueprintafric.com/,"Plot 976 Olusegun Obasanjo Wy, Wuye, Ankuru 900108, Federal Capital Territory, Nigeria",national,Nigeria,
The Authority Newspaper,http://www.authorityngr.com/,"off Lake Chad, 10 Oguda CL., Maitama, Abuja 904101, Federal Capital Territory, Nigeria",state,Nigeria,Plateau
Plateau,http://www.plateaustate.gov.ng/,"Plateau, Nigeria",state,Nigeria,Plateau
